"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.224790417E-1,6.259637314E-1,-4.803844339E-1,2.633474833E-1,8.318363386E-1
6.325040417E-1,7.633051792E-1,-1.028975469E0,1.297574921E0,1.823492799E0
6.425300417E-1,1.138141231E0,-7.791666287E-1,1.668217058E0,2.164581772E0
6.525550417E-1,9.818656218E-1,-1.244088686E-1,1.670623772E0,1.941783060E0
6.625810417E-1,5.148850527E-1,3.677430868E-1,9.039216524E-1,1.103365737E0
6.726070417E-1,2.623785996E-1,5.730955464E-1,-5.389554083E-2,6.326023744E-1
6.826320417E-1,-1.451492641E0,1.731477499E-1,-1.195370269E0,1.888311709E0
6.926580417E-1,-2.635356759E0,-1.059713697E0,-1.077394508E0,3.037906729E0
7.026830417E-1,-3.053753398E0,-1.589451554E0,-4.132373482E-1,3.467352184E0
7.127090417E-1,-2.590090247E0,-9.739753890E-1,-1.310396111E-1,2.770264775E0
7.227350417E-1,-2.192280192E0,-6.736688250E-1,2.502292550E-1,2.307062376E0
7.327600417E-1,-2.030296824E0,-7.113798577E-1,3.583290696E-1,2.180955345E0
7.427860417E-1,-1.586908308E0,-6.507091480E-1,-7.145414472E-2,1.716626362E0
7.528110417E-1,-1.198463739E0,9.194220364E-2,-4.602787828E-1,1.287099553E0
7.628370417E-1,-1.514340269E0,5.941168714E-1,-7.273819327E-1,1.781933159E0
7.728620417E-1,-1.418813722E0,3.633980209E-1,-1.712813187E0,2.253623640E0
7.828880417E-1,-1.038497367E0,-3.269570035E-1,-2.515416625E0,2.740930218E0
7.929140417E-1,-5.718685082E-1,-1.052483030E0,-1.431556267E0,1.866576402E0
8.029390417E-1,2.341976514E-1,2.163177431E-2,5.049573576E-1,5.570443489E-1
8.129650417E-1,7.935966799E-1,2.576694860E0,1.438452473E0,3.055862826E0
8.229900417E-1,5.915318173E-1,3.396471571E0,1.801186835E0,3.889756167E0
8.330160417E-1,4.336429614E-1,2.761945177E0,1.388334233E0,3.121515549E0
8.430420417E-1,-1.269084655E0,1.682681900E0,4.176841557E-1,2.148593561E0
8.530670417E-1,-3.057745000E0,5.398938864E-1,-1.056647417E0,3.279907568E0
8.630930417E-1,-3.172805925E0,5.116763932E-1,-2.151089482E0,3.867259511E0
8.731180417E-1,-2.165062281E0,9.948107725E-1,-2.136442791E0,3.200239202E0
8.831440417E-1,-1.291197071E0,1.104173001E0,-1.042626379E0,1.993353370E0
8.931690417E-1,-1.115853399E0,4.086116159E-1,2.110798073E-1,1.206916296E0
9.031950417E-1,-5.288075656E-1,-2.451389614E-1,1.023162167E0,1.177536145E0
9.132210417E-1,1.035830452E0,-7.752881706E-1,1.927053414E0,2.321109936E0
9.232460417E-1,2.249948649E0,-9.943435800E-1,2.892860827E0,3.797319034E0
9.332720417E-1,2.101492521E0,-9.693835706E-1,3.258839225E0,3.996999927E0
9.432970417E-1,1.191659919E0,-8.006393588E-1,1.742477281E0,2.257720935E0
9.533230417E-1,-5.811781526E-2,-9.042289236E-1,-5.041796780E-1,1.036920814E0
9.633490417E-1,-9.500930214E-1,-1.752665762E0,-2.056120175E0,2.863938581E0
9.733740417E-1,-1.461794265E0,-3.088959191E0,-3.578080242E0,4.947844943E0
9.834000417E-1,-2.356276465E0,-4.962779261E0,-5.664201311E0,7.890779003E0
9.934250417E-1,-2.604341373E0,-5.707215768E0,-6.433697814E0,8.985954227E0
1.003451042E0,-2.609358869E0,-4.581797201E0,-5.278464587E0,7.460818166E0
1.013476042E0,-2.272106088E0,-1.686127371E0,-4.302075468E0,5.149111080E0
1.023502042E0,-1.679550131E0,7.633952263E-1,-4.335902195E0,4.712081149E0
1.033528042E0,-1.317145552E0,1.005881014E0,-4.857887229E0,5.132809889E0
1.043553042E0,-1.255969058E0,-7.809038365E-1,-4.570887174E0,4.804193859E0
1.053579042E0,-9.888583070E-1,-3.079544004E0,-2.570713744E0,4.131585795E0
1.063604042E0,2.853511405E-1,-4.873532624E0,2.863126566E0,5.659526416E0
1.073630042E0,1.804636107E0,-5.176165211E0,-1.397350055E-1,5.483513804E0
1.083656042E0,1.924841412E0,-4.968497254E0,2.254044331E0,5.785472778E0
1.093681042E0,6.985814720E-1,-4.598596252E0,3.915678009E0,6.080101794E0
1.103707042E0,-2.124696904E-1,-4.744693320E0,5.957637981E0,7.619101547E0
1.113732042E0,-9.326092619E-1,-4.606788201E0,6.660866820E0,8.152263757E0
1.123758042E0,-1.514725893E0,-4.447074137E0,6.067380863E0,7.673589346E0
