"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.653949790870115E9,"2022-05-30 15:29:50.870 UTC-07:00"
"PAUSE",1.252069409166579E2,1.653949916075668E9,"2022-05-30 15:31:56.076 UTC-07:00"
